City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,Yerbogachen,61.2767,108.0108,61.83,73,63,3.6,RU,2021-07-24 16:59:37
221,Gazojak,41.1875,61.4036,97.79,9,0,10.56,TM,2021-07-24 16:59:37
222,Saint Anthony,45.0205,-93.218,88.25,64,40,9.22,US,2021-07-24 16:59:37
223,Poum,-20.2333,164.0167,71.87,84,6,6.06,NC,2021-07-24 16:59:38
224,Tapiramuta,-11.8472,-40.7914,64.2,77,99,7.78,BR,2021-07-24 16:59:38
225,Fairbanks,64.8378,-147.7164,59.09,94,90,9.22,US,2021-07-24 16:55:12
226,Sambava,-14.2667,50.1667,70.25,74,20,14.83,MG,2021-07-24 16:59:39
227,Matara,5.9485,80.5353,77.34,91,83,7.52,LK,2021-07-24 16:53:19
228,Goma,-1.6792,29.2228,66.81,63,93,2.08,CD,2021-07-24 16:59:39
229,Tanggu,39.0211,117.6469,82.36,79,10,7.38,CN,2021-07-24 16:59:39
230,Burjuc,45.9522,22.4867,75.4,52,56,2.98,RO,2021-07-24 16:59:40
231,Canico,32.6333,-16.85,83.71,60,20,25.32,PT,2021-07-24 16:59:40
232,Srednekolymsk,67.45,153.6833,45.25,75,92,11.07,RU,2021-07-24 16:59:41
233,Aleksandrov Gay,50.147,48.5704,76.8,36,16,13.51,RU,2021-07-24 16:59:41
234,Mayo,38.8876,-76.5119,88.05,55,4,5.01,US,2021-07-24 16:59:41
235,Longyearbyen,78.2186,15.6401,46.24,76,75,6.91,SJ,2021-07-24 16:51:58
236,Lensk,60.7253,114.9278,66.76,70,79,3.2,RU,2021-07-24 16:59:42
237,Lumberton,34.6182,-79.0086,89.22,45,1,5.03,US,2021-07-24 16:56:08
238,Khasan,42.4308,130.6434,73.38,95,54,4.9,RU,2021-07-24 16:59:42
239,Nanortalik,60.1432,-45.2371,43.7,96,100,12.39,GL,2021-07-24 16:52:20
240,North Bend,43.4065,-124.2243,73.94,88,40,3.44,US,2021-07-24 16:59:43
241,Urubicha,-15.3833,-62.95,93.04,24,0,5.88,BO,2021-07-24 16:59:43
242,Lalmohan,22.3384,90.7419,82.99,85,78,17.43,BD,2021-07-24 16:59:43
243,San Patricio,28.017,-97.5169,91.49,45,0,14.23,US,2021-07-24 16:55:12
244,Skoghall,59.3232,13.4655,77.56,41,66,8.05,SE,2021-07-24 16:59:44
245,Itirapina,-22.2528,-47.8228,76.93,20,0,8.5,BR,2021-07-24 16:59:44
246,Saint-Pierre,-21.3393,55.4781,71.24,72,40,5.75,RE,2021-07-24 16:59:44
247,Manjacaze,-24.7117,33.8828,58.62,77,32,6.91,MZ,2021-07-24 16:59:45
248,Tuatapere,-46.1333,167.6833,38.82,83,100,7.54,NZ,2021-07-24 16:55:47
249,Lebu,-37.6167,-73.65,52.54,70,23,10.42,CL,2021-07-24 16:55:13
250,Ancud,-41.8697,-73.8203,46.22,70,100,4.94,CL,2021-07-24 16:56:53
251,Chapeco,-27.0964,-52.6183,77.16,31,0,5.88,BR,2021-07-24 16:59:46
252,Dunedin,-45.8742,170.5036,42.8,74,58,18.99,NZ,2021-07-24 16:56:57
253,Sungaipenuh,-2.0833,101.3833,65.46,96,76,2.48,ID,2021-07-24 16:59:46
254,Gisborne,-38.6533,178.0042,43.95,79,99,4.47,NZ,2021-07-24 16:57:03
255,Guhagar,17.4842,73.1929,78.39,89,100,9.06,IN,2021-07-24 16:59:46
256,Altay,47.8667,88.1167,68.14,47,0,6.71,CN,2021-07-24 16:59:47
257,Shache,38.4167,77.2406,86.58,24,1,6.02,CN,2021-07-24 16:59:47
258,Chimbote,-9.0853,-78.5783,68.04,71,66,7.76,PE,2021-07-24 16:59:47
259,Bairiki,1.3292,172.9752,82.4,78,20,4.61,KI,2021-07-24 16:55:38
260,Kaeo,-35.1,173.7833,54.32,89,41,10.02,NZ,2021-07-24 16:56:05
261,Markova,48.6758,24.4138,76.59,83,57,3.53,UA,2021-07-24 16:59:48
262,Chumikan,54.7183,135.315,54.66,100,100,3.89,RU,2021-07-24 16:59:48
263,Terrace Bay,48.7834,-87.1,63.1,97,100,8.88,CA,2021-07-24 16:59:48
264,Xapuri,-10.6517,-68.5044,90.25,26,0,3.38,BR,2021-07-24 16:59:49
265,Teguldet,57.3064,88.1667,66.92,73,80,5.35,RU,2021-07-24 16:59:49
266,Ilulissat,69.2167,-51.1,37.81,91,34,8.1,GL,2021-07-24 16:51:52
267,Russell,32.3502,-85.1999,89.31,73,0,4.72,US,2021-07-24 16:59:50
268,Vigrestad,58.5667,5.7,71.96,85,3,1.9,NO,2021-07-24 16:59:50
269,Hadejia,12.4498,10.0444,85.89,52,81,10.38,NG,2021-07-24 16:59:51
270,Krasnyy Yar,46.5331,48.3456,82.33,32,41,7.96,RU,2021-07-24 16:54:43
271,Kalabo,-14.97,22.6814,69.48,33,15,5.93,ZM,2021-07-24 16:59:51
272,Katsuura,35.1333,140.3,81.1,84,0,6.49,JP,2021-07-24 16:59:51
273,Jalu,29.0331,21.5482,92.17,18,0,12.3,LY,2021-07-24 16:59:52
274,Cayenne,4.9333,-52.3333,86.09,77,75,7.0,GF,2021-07-24 16:51:42
275,Nabire,-3.3667,135.4833,73.26,95,100,2.51,ID,2021-07-24 16:59:52
276,Camana,-16.6228,-72.7111,64.27,73,59,8.32,PE,2021-07-24 16:59:53
277,Bontang,0.1333,117.5,77.25,89,89,7.38,ID,2021-07-24 16:59:53
278,Dhidhdhoo,6.8833,73.1,81.68,79,99,11.5,MV,2021-07-24 16:59:35
279,Sao Joao Da Barra,-21.6403,-41.0511,77.09,58,22,11.88,BR,2021-07-24 16:52:28
280,Fort Nelson,58.8053,-122.7002,65.79,52,75,8.05,CA,2021-07-24 16:59:54
281,Karaton,-6.3424,106.1045,78.96,92,3,2.13,ID,2021-07-24 16:59:54
282,Tura,25.5198,90.2201,76.19,94,47,5.66,IN,2021-07-24 16:52:02
283,Bonthe,7.5264,-12.505,76.35,86,100,10.27,SL,2021-07-24 16:59:54
284,Maputo,-25.9653,32.5892,64.08,59,40,16.11,MZ,2021-07-24 16:55:36
285,Nyurba,63.2842,118.3319,57.36,78,12,5.39,RU,2021-07-24 16:59:55
286,Tayoltita,24.0833,-105.9333,82.47,52,43,4.27,MX,2021-07-24 16:59:56
287,Provideniya,64.3833,-173.3,46.74,98,100,11.63,RU,2021-07-24 16:55:27
288,Paamiut,61.994,-49.6678,42.21,97,100,4.52,GL,2021-07-24 16:59:56
289,Pathein,16.7833,94.7333,79.23,91,99,6.78,MM,2021-07-24 16:59:56
290,Asyut,27.181,31.1837,100.58,16,0,11.1,EG,2021-07-24 16:59:57
291,Ayan,56.45,138.1667,56.97,97,100,9.66,RU,2021-07-24 16:59:57
292,Ukiah,39.1502,-123.2078,94.03,12,0,2.73,US,2021-07-24 16:55:26
293,San Policarpo,12.1791,125.5072,81.43,75,30,10.69,PH,2021-07-24 16:59:58
294,Hervey Bay,-25.2986,152.8535,56.03,58,0,12.75,AU,2021-07-24 16:59:58
